water,style,mode,error_ppm,old_error_ppm,conditional_lower_bound_ppm,gap_ppm,salts,ms,ra,doses
"Osmosée","NA-STOUT","target","6.456","6.456","5.907","0.549","4","2.86","100.4","{""gypse"":2.4,""cacl2"":8,""nahco3"":6.5,""chaux"":0.1}"
"Osmosée","NA-STOUT","modest","11.805","11.805","11.513","0.291","4","3.16","100.4","{""gypse"":2.4,""cacl2"":8,""nahco3"":6.5,""chaux"":0.1}"
"Osmosée","NA-LAGER","minimum","0.802","8.191","0.609","0.193","3","2.26","-63.5","{""gypse"":2.6,""cacl2"":4.3,""nacl"":0.6}"
"Osmosée","NA-LAGER","target","3.625","9.061","3.589","0.036","3","2.27","-60.4","{""gypse"":2.7,""cacl2"":3.9,""nacl"":1}"
"Osmosée","NA-LAGER","modest","3.625","9.061","3.589","0.036","3","2.06","-60.4","{""gypse"":2.7,""cacl2"":3.9,""nacl"":1}"
"Osmosée","—","minimum","0.675","1.607","0.648","0.027","2","2.06","-89.7","{""gypse"":4.7,""cacl2"":5.2}"
"Osmosée","—","target","6.469","7.937","6.464","0.005","3","2.16","-81.8","{""gypse"":4.8,""cacl2"":4.3,""nacl"":0.8}"
"Osmosée","—","modest","5.553","6.652","5.527","0.025","3","2.17","-83.7","{""gypse"":4.8,""cacl2"":4.5,""nacl"":0.6}"
"Angles","01A","minimum","2.866","17.190","2.453","0.413","2","2.32","85.8","{""epsom"":2.6,""kcl"":2.4}"
"Angles","01A","target","1.177","17.532","0.810","0.367","3","2.15","85.8","{""epsom"":2.6,""nacl"":0.9,""kcl"":1.2}"
"Angles","01A","modest","1.177","17.532","0.810","0.367","3","2.49","85.8","{""epsom"":2.6,""nacl"":0.9,""kcl"":1.2}"
"Angles","05B","minimum","2.903","11.192","2.704","0.199","4","2.16","71.6","{""gypse"":1.8,""epsom"":1.6,""mgcl2"":0.6,""kcl"":2.8}"
"Angles","05B","target","0.306","11.794","0.086","0.220","4","2.32","75.4","{""gypse"":1.4,""epsom"":2.2,""nacl"":0.9,""kcl"":2.1}"
"Angles","05B","modest","0.306","11.794","0.086","0.220","4","2.24","75.4","{""gypse"":1.4,""epsom"":2.2,""nacl"":0.9,""kcl"":2.1}"
"Angles","05D","minimum","2.019","10.927","2.005","0.014","3","2.24","69.9","{""gypse"":2.3,""epsom"":1.5,""kcl"":2.1}"
"Angles","05D","target","0.431","11.332","0.000","0.431","4","2.57","70.9","{""gypse"":2,""epsom"":2,""nacl"":0.6,""kcl"":1.4}"
"Angles","05D","modest","0.431","11.332","0.000","0.431","4","2.15","70.9","{""gypse"":2,""epsom"":2,""nacl"":0.6,""kcl"":1.4}"
"Angles","04A","minimum","1.570","9.930","0.636","0.933","2","2.54","82.6","{""gypse"":1.3,""kcl"":2.8}"
"Angles","04A","target","1.011","10.603","0.000","1.011","3","2.37","74.2","{""gypse"":1.3,""mgcl2"":2.4,""nacl"":0.9}"
"Angles","04A","modest","1.011","10.603","0.000","1.011","3","2.38","74.2","{""gypse"":1.3,""mgcl2"":2.4,""nacl"":0.9}"
"Angles","06C","minimum","1.459","12.567","1.370","0.089","4","2.51","61.5","{""gypse"":1.3,""cacl2"":1.9,""epsom"":0.9,""kcl"":2.8}"
"Angles","06C","target","0.945","13.352","0.517","0.428","3","2.48","57","{""cacl2"":2.9,""epsom"":2.8,""nacl"":1.4}"
"Angles","06C","modest","0.541","13.156","0.000","0.541","3","3.18","57","{""cacl2"":2.9,""epsom"":2.8,""nacl"":1.4}"
"Angles","08B","minimum","3.678","13.177","2.938","0.740","4","5.20","83.9","{""gypse"":1.9,""cacl2"":1.8,""kcl"":2.8,""nahco3"":0.8}"
"Angles","08B","target","0.382","12.707","0.000","0.382","5","5.26","84.7","{""cacl2"":2.8,""epsom"":2.8,""nacl"":0.8,""kcl"":0.9,""nahco3"":0.9}"
"Angles","08B","modest","0.382","12.707","0.000","0.382","5","4.75","84.7","{""cacl2"":2.8,""epsom"":2.8,""nacl"":0.8,""kcl"":0.9,""nahco3"":0.9}"
"Angles","10A","minimum","2.515","16.125","2.341","0.174","3","2.40","73.1","{""gypse"":1.8,""mgcl2"":1.5,""kcl"":2.8}"
"Angles","10A","target","0.495","17.132","0.000","0.495","4","2.48","74.1","{""cacl2"":1.2,""epsom"":2.6,""nacl"":1.4,""kcl"":1}"
"Angles","10A","modest","0.495","17.132","0.000","0.495","4","2.65","74.1","{""cacl2"":1.2,""epsom"":2.6,""nacl"":1.4,""kcl"":1}"
"Angles","11C","minimum","0.919","14.169","0.554","0.365","4","2.09","-4.8","{""gypse"":11.1,""cacl2"":0.6,""nacl"":0.8,""kcl"":2.8}"
"Angles","11C","target","0.699","16.358","0.628","0.071","4","2.07","-9.4","{""gypse"":9.6,""cacl2"":1.7,""epsom"":2.2,""nacl"":2.1}"
"Angles","11C","modest","0.712","15.135","0.000","0.712","4","2.19","-14.3","{""gypse"":11.1,""cacl2"":0.6,""mgcl2"":2.7,""nacl"":1.4}"
"Angles","13C","minimum","3.385","14.838","3.319","0.066","5","4.40","66.3","{""gypse"":3,""cacl2"":2.2,""mgcl2"":1.3,""kcl"":2.8,""nahco3"":0.8}"
"Angles","13C","target","0.220","14.828","0.078","0.142","5","7.12","66.2","{""gypse"":3,""cacl2"":1.9,""mgcl2"":3,""nacl"":1.5,""nahco3"":0.9}"
"Angles","13C","modest","0.280","14.213","0.000","0.280","6","7.02","68.7","{""gypse"":3,""cacl2"":1.9,""mgcl2"":2.3,""nacl"":0.8,""kcl"":1.4,""nahco3"":0.9}"
"Angles","15B","minimum","5.348","18.295","4.683","0.665","4","4.19","118.1","{""cacl2"":3.4,""epsom"":3.7,""kcl"":2.4,""nahco3"":2.3}"
"Angles","15B","target","0.553","17.834","0.000","0.553","5","4.67","117.8","{""cacl2"":3.4,""epsom"":3.8,""nacl"":0.9,""kcl"":1.3,""nahco3"":2.3}"
"Angles","15B","modest","1.330","17.815","0.870","0.460","4","6.60","118.1","{""cacl2"":3.4,""epsom"":3.7,""kcl"":2.4,""nahco3"":2.3}"
"Angles","16A","minimum","5.130","20.589","4.705","0.425","4","6.79","100.9","{""cacl2"":4.5,""epsom"":3.9,""kcl"":2.7,""nahco3"":2.1}"
"Angles","16A","target","0.420","20.582","0.000","0.420","5","8.31","100.9","{""cacl2"":4.5,""epsom"":3.9,""nacl"":1.5,""kcl"":0.8,""nahco3"":2.1}"
"Angles","16A","modest","1.219","20.242","0.896","0.323","4","8.56","100.9","{""cacl2"":4.5,""epsom"":3.9,""kcl"":2.7,""nahco3"":2.1}"
"Angles","20C","minimum","5.602","16.464","5.567","0.036","5","4.38","119.1","{""gypse"":1.9,""cacl2"":3.7,""epsom"":2,""kcl"":2.8,""nahco3"":2.8}"
"Angles","20C","target","0.629","15.485","0.000","0.629","4","9.92","120","{""cacl2"":5,""epsom"":4.8,""nacl"":1.2,""nahco3"":3}"
"Angles","20C","modest","2.174","15.595","2.136","0.038","5","4.32","119.8","{""gypse"":3.3,""cacl2"":2.2,""mgcl2"":2.3,""kcl"":2.7,""nahco3"":2.8}"
"Angles","18B","minimum","4.043","16.972","3.227","0.816","3","2.22","25","{""gypse"":7.5,""mgcl2"":1.7,""kcl"":2.8}"
"Angles","18B","target","1.058","18.404","0.000","1.058","4","2.34","34.9","{""gypse"":6.4,""epsom"":1.8,""nacl"":1.8,""kcl"":1.8}"
"Angles","18B","modest","1.045","17.932","0.000","1.045","4","2.04","34.9","{""gypse"":6.4,""epsom"":1.8,""nacl"":1.4,""kcl"":2.3}"
